#time pos_x pos_y pos_z ori_x ori_y ori_z vel_x vel_y vel_z angvel_x angvel_y angvel_z Fx Fy Fz Mx My Mz Pr0 Pr1 Pr2 Pr3 Pr4
3.205020666122436523e+00 -1.459970000000000157e-01 2.809600000000000986e-02 -3.126100000000003876e-02 1.694780134146225414e-01 -7.612831689990624540e-01 -1.808655149304137622e+00 3.464744691541189747e-02 -2.757351601124993085e-02 -1.430711784438637724e-01 3.769420178595014881e-01 1.222192411682498838e-03 1.357694264033777187e-01 -8.577900000000000524e-01 -5.458599999999997898e-01 -3.110999999999989996e+00 -1.111470690000000011e-02 -2.635999999999993904e-02 -2.542099999999998527e-03 0.000000000000000000e+00 1.000000000000000000e+00 1.414833385430988857e-17 0.000000000000000000e+00 3.020704218312521008e-250
3.229990720748901367e+00 -1.450639999999999985e-01 2.745899999999998342e-02 -3.501399999999998958e-02 1.679459757081191995e-01 -7.697952436289723366e-01 -1.805308552463249505e+00 3.304329120441779066e-02 -3.144072973722893821e-02 -1.622593485528700807e-01 4.249864542071686291e-01 -3.531450899758492579e-02 2.446474297392905173e-01 -9.320000000000003837e-01 -5.322700000000000209e-01 -3.241999999999990223e+00 -1.043960690000000045e-02 -2.696999999999993847e-02 -4.545000000000000429e-04 0.000000000000000000e+00 1.000000000000000000e+00 7.342539950462227396e-21 0.000000000000000000e+00 8.917390841788658876e-320
3.257436752319335938e+00 -1.442650000000000043e-01 2.644799999999999929e-02 -3.976600000000002355e-02 1.596625389381514104e-01 -7.825305141589047331e-01 -1.802672509731719996e+00 2.192493386236238698e-02 -2.950997982851505039e-02 -1.497386188741036406e-01 3.210791821412060099e-01 5.768559648439812448e-02 1.804091669610732862e-01 -9.640600000000003611e-01 -4.891700000000001047e-01 -3.114999999999980673e+00 -1.062870690000000153e-02 -2.720999999999995644e-02 -1.941800000000000470e-03 0.000000000000000000e+00 9.999999999999976685e-01 2.220898022064826281e-15 0.000000000000000000e+00 3.591719340071785560e-274
3.282989740371704102e+00 -1.439020000000000021e-01 2.589500000000000135e-02 -4.294999999999998819e-02 1.667732136843897983e-01 -7.870350533293173356e-01 -1.796553572383146058e+00 1.475606159017167282e-02 -1.884205764729241991e-02 -1.042025819116955271e-01 1.313720730136881121e-01 2.659165145128948304e-01 1.303906433636043138e-01 -8.349100000000002630e-01 -4.103500000000002146e-01 -2.703999999999979309e+00 -4.789270689999999830e-02 -2.669000000000010253e-02 5.437300000000002548e-03 0.000000000000000000e+00 6.386165006074525734e-187 1.000000000000000000e+00 2.008448653715772327e-248 1.347428173239097095e-135
3.309076547622680664e+00 -1.435029999999999917e-01 2.547499999999999765e-02 -4.514699999999999269e-02 1.764997810060746630e-01 -7.921688674909478367e-01 -1.784011579051387519e+00 1.196458453578089047e-02 -2.489161987806826071e-02 -6.952291708173083395e-02 1.312360245865134278e-01 1.643541085201708218e-01 2.642194369153827438e-01 -9.204700000000003435e-01 -1.774300000000001987e-01 -2.876999999999981128e+00 -4.192020689999999966e-02 -2.632999999999996454e-02 2.370900000000002172e-03 0.000000000000000000e+00 6.158598370591082240e-103 1.000000000000000000e+00 1.421075086254351900e-144 2.388844616094914226e-63
3.335979461669921875e+00 -1.432680000000000065e-01 2.457599999999998674e-02 -4.663400000000000878e-02 1.767374228957740989e-01 -7.957339823352067576e-01 -1.775464136126154280e+00 -1.075008098772696138e-02 -3.305938884397727207e-02 -3.818397942235689929e-02 9.471153838971185790e-02 -2.939734970480031243e-03 1.863976063493539004e-01 -6.320600000000000662e-01 -1.566900000000002180e-01 -1.582999999999998408e+00 -1.960760690000000125e-02 -5.299000000000009258e-02 -7.988599999999998480e-03 1.024013003213711872e-167 4.386595580173721773e-257 1.000000000000000000e+00 1.959935330525036785e-60 1.763515602997830602e-22
3.360983133316040039e+00 -1.440609999999999946e-01 2.375900000000000234e-02 -4.712900000000003198e-02 1.748525853751718984e-01 -7.969592634691583521e-01 -1.775511691214947119e+00 -9.617486885636832711e-03 -3.293139480383240614e-02 -1.067720997282696135e-02 1.149174272478211967e-01 -7.962374957061615216e-03 1.055440003294874224e-01 -1.194980000000000153e+00 -3.875399999999999956e-01 -2.186999999999983402e+00 -1.559550690000000017e-02 -6.597999999999992760e-02 -7.939099999999997548e-03 4.408982568397965782e-123 9.844009340611368126e-136 9.999999959796741500e-01 4.633876454748071327e-41 4.020325833987688578e-09
3.385992527008056641e+00 -1.437490000000000157e-01 2.292900000000000493e-02 -4.716799999999998771e-02 1.745097251000116145e-01 -8.012774620730320763e-01 -1.771780687138876376e+00 1.970977459203877846e-02 -1.747093609882595378e-02 3.478195516242333502e-03 1.211208850181814956e-02 9.841903086246796273e-02 1.616694530184040468e-01 -1.337460000000000093e+00 -5.201999999999999957e-01 -1.847999999999984766e+00 -9.061936900000001210e-03 -8.960000000000012399e-02 -1.269990000000000008e-02 1.543598520383371888e-216 0.000000000000000000e+00 9.999999999594283429e-01 2.672983466092293096e-39 4.057169905462847492e-11
3.411009073257446289e+00 -1.430750000000000077e-01 2.288499999999998868e-02 -4.695500000000002450e-02 1.815981493289982318e-01 -7.985084338797907577e-01 -1.762576005211903052e+00 4.455091235324615262e-02 5.960631346356355144e-04 1.438242660346423542e-02 -3.155049911146146080e-02 1.855826073407100540e-01 6.787805965840042199e-02 -1.376340000000000341e+00 -3.634599999999998943e-01 -1.530000000000001137e+00 -1.194080690000000160e-02 -1.046400000000000663e-01 -1.914830000000000004e-02 3.952525166729972353e-323 0.000000000000000000e+00 9.999999999999915623e-01 4.042206197115652742e-41 8.451374567495461163e-15
3.438000440597534180e+00 -1.414320000000000022e-01 2.296000000000000818e-02 -4.642000000000001680e-02 1.885727573150850767e-01 -8.015273305704022633e-01 -1.758176050577078264e+00 5.606448741602372554e-02 -1.087818412549690708e-02 2.210199617471447428e-02 -1.356909667847846501e-01 2.545357160591487089e-01 -8.031238300147729159e-02 -1.540780000000000260e+00 -3.176800000000001845e-01 -1.250999999999976353e+00 -1.591740690000000014e-02 -1.311800000000000743e-01 -1.860329999999999623e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.229545104003620823e-66 1.784096467791445262e-21
