# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
176 79.3146 2.51e-01 6.29e-01 90.6945
177 79.2523 2.36e-01 6.38e-01 91.3239
178 79.1900 2.39e-01 6.85e-01 91.1890
179 78.5670 2.43e-01 6.48e-01 90.7844
180 78.7539 2.49e-01 6.89e-01 90.4248
181 79.5639 2.43e-01 5.84e-01 91.0766
182 77.1963 2.33e-01 6.92e-01 91.4138
183 77.8193 2.37e-01 7.40e-01 91.2340
184 78.6293 2.60e-01 6.61e-01 90.9418
185 79.6262 2.42e-01 6.93e-01 90.8069
186 78.9408 2.37e-01 6.21e-01 90.9867
187 78.0062 2.35e-01 6.89e-01 90.9193
188 79.3769 2.48e-01 6.09e-01 90.7844
189 80.1869 2.43e-01 6.19e-01 91.0991
190 77.8816 2.47e-01 6.70e-01 90.5372
191 78.8162 2.49e-01 6.56e-01 90.8968
192 76.7601 2.39e-01 6.94e-01 90.7170
193 76.9470 2.42e-01 7.59e-01 90.8968
194 77.2586 2.45e-01 6.53e-01 90.4023
195 77.6947 2.28e-01 7.14e-01 91.7734
196 78.0062 2.36e-01 6.67e-01 91.3464
197 78.7539 2.42e-01 6.26e-01 91.2340
198 79.3769 2.48e-01 6.76e-01 90.7844
199 78.0062 2.47e-01 6.65e-01 90.7620
200 77.0716 2.38e-01 7.20e-01 91.1666
201 79.3769 2.32e-01 6.31e-01 91.0991
202 79.8754 2.33e-01 6.36e-01 91.4363
203 79.3146 2.38e-01 6.72e-01 91.2789
204 81.4953 2.33e-01 6.29e-01 91.2789
205 78.5670 2.31e-01 6.59e-01 91.4588
206 79.0031 2.45e-01 6.83e-01 90.3799
207 77.2586 2.25e-01 6.65e-01 91.3239
208 76.3240 2.36e-01 7.62e-01 90.9643
209 78.7539 2.35e-01 6.95e-01 90.7395
210 77.7570 2.39e-01 6.61e-01 91.1216
211 76.7601 2.39e-01 7.31e-01 91.1216
212 75.7009 2.42e-01 7.09e-01 91.0766
213 79.6262 2.28e-01 6.77e-01 91.3913
214 77.5078 2.29e-01 7.29e-01 91.4138
215 80.0000 2.28e-01 6.51e-01 91.5936
216 76.5109 2.39e-01 6.90e-01 91.2789
217 75.8878 2.41e-01 6.76e-01 90.8294
218 79.1900 2.44e-01 6.26e-01 90.4922
219 77.9439 2.46e-01 7.19e-01 90.3799
220 76.8224 2.50e-01 7.56e-01 90.6496
221 81.1838 2.31e-01 5.84e-01 91.2340
222 78.1931 2.27e-01 6.67e-01 91.2340
223 79.3769 2.36e-01 6.02e-01 91.2340
224 78.0062 2.40e-01 7.00e-01 90.9867
225 80.3738 2.25e-01 6.03e-01 91.4812
226 79.6885 2.47e-01 6.73e-01 90.4023
227 78.7539 2.40e-01 6.76e-01 90.9643
228 78.0685 2.23e-01 6.91e-01 91.8858
229 79.5016 2.28e-01 6.34e-01 91.4363
230 79.6262 2.30e-01 7.14e-01 91.2789
231 78.9408 2.36e-01 6.45e-01 91.2789
232 77.8816 2.53e-01 7.64e-01 90.4023
233 76.7601 2.34e-01 7.46e-01 91.3014
234 78.5047 2.34e-01 6.57e-01 91.5936
235 78.4424 2.31e-01 6.75e-01 91.0542
236 78.0062 2.25e-01 6.44e-01 91.6386
237 78.6293 2.39e-01 6.54e-01 90.8069
238 79.1900 2.37e-01 6.72e-01 91.2115
239 78.0685 2.26e-01 6.39e-01 91.4588
240 78.0062 2.43e-01 7.06e-01 90.9643
241 75.5140 2.29e-01 7.47e-01 91.5487
242 78.3178 2.41e-01 7.12e-01 90.5147
243 77.8193 2.30e-01 7.46e-01 91.2115
244 77.8193 2.34e-01 7.14e-01 91.2115
245 76.5109 2.30e-01 7.96e-01 91.5037
246 79.3146 2.32e-01 6.58e-01 91.0991
247 78.6916 2.20e-01 6.59e-01 92.0881
248 78.2555 2.35e-01 6.76e-01 91.3464
249 77.0093 2.24e-01 7.13e-01 91.7510
250 78.4424 2.35e-01 7.16e-01 91.2789
251 79.1900 2.33e-01 6.44e-01 90.9867
252 79.7508 2.27e-01 6.55e-01 91.3014
253 80.1246 2.32e-01 6.07e-01 91.1216
254 78.6293 2.21e-01 7.25e-01 92.2005
255 78.7539 2.33e-01 6.21e-01 91.4588
256 79.0031 2.38e-01 6.12e-01 91.1216
257 74.8910 2.35e-01 7.61e-01 91.4363
258 77.8193 2.24e-01 6.33e-01 91.8184
259 76.6978 2.41e-01 7.64e-01 90.6945
260 78.4424 2.31e-01 6.47e-01 91.4138
261 79.5016 2.32e-01 6.02e-01 91.2340
262 78.4424 2.30e-01 6.51e-01 91.7959
263 79.1900 2.27e-01 6.76e-01 91.4138
264 77.1963 2.27e-01 6.43e-01 91.3239
265 79.5016 2.33e-01 6.27e-01 91.3239
266 77.5078 2.30e-01 7.58e-01 91.1666
267 76.1371 2.32e-01 8.00e-01 91.1441
268 81.1215 2.39e-01 5.62e-01 90.8519
269 79.3146 2.32e-01 6.37e-01 91.1666
270 76.1994 2.34e-01 6.99e-01 90.9193
271 78.0062 2.44e-01 7.98e-01 90.6945
272 80.4361 2.55e-01 5.71e-01 90.4248
273 77.5701 2.30e-01 6.56e-01 91.5936
274 77.3832 2.28e-01 7.69e-01 91.6161
275 76.6355 2.29e-01 6.85e-01 91.5262
276 79.8131 2.25e-01 6.17e-01 91.4363
277 78.7539 2.23e-01 6.65e-01 91.9308
278 80.2492 2.22e-01 6.13e-01 91.7959
279 79.0031 2.39e-01 6.69e-01 90.9643
280 78.8162 2.36e-01 7.95e-01 91.3689
281 78.9408 2.45e-01 7.30e-01 90.9418
282 79.3146 2.27e-01 6.69e-01 91.6161
283 75.8255 2.38e-01 7.67e-01 90.8519
284 78.3178 2.32e-01 6.75e-01 90.9193
285 78.0685 2.25e-01 7.41e-01 91.7510
286 78.8785 2.30e-01 6.38e-01 91.9308
287 79.5016 2.27e-01 6.49e-01 91.7285
288 78.3178 2.36e-01 7.77e-01 90.9643
289 76.8224 2.38e-01 6.36e-01 91.1216
290 77.8193 2.18e-01 6.93e-01 91.8858
291 77.5078 2.26e-01 7.12e-01 91.3239
