# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
348 80.4984 2.91e-02 2.08e+00 98.9885
349 79.8754 2.58e-02 2.06e+00 98.9885
350 80.1246 3.52e-02 2.10e+00 98.6963
351 79.0031 3.62e-02 2.09e+00 98.7188
352 79.2523 3.64e-02 2.05e+00 98.6963
353 79.2523 4.42e-02 2.16e+00 98.4041
354 80.1246 3.76e-02 2.01e+00 98.6739
355 79.5639 3.98e-02 2.18e+00 98.5165
356 80.1869 4.27e-02 2.09e+00 98.6739
357 80.4361 5.12e-02 2.10e+00 98.0670
358 79.7508 5.04e-02 2.13e+00 98.0670
359 80.4361 4.74e-02 2.06e+00 98.2693
360 78.8162 5.48e-02 2.20e+00 98.0220
361 79.3146 5.96e-02 2.21e+00 97.8647
362 75.4517 6.80e-02 2.51e+00 97.7973
363 79.6262 7.17e-02 2.14e+00 97.6849
364 78.0062 5.60e-02 2.37e+00 98.0445
365 79.8131 4.04e-02 2.10e+00 98.5390
366 80.3115 3.74e-02 2.12e+00 98.6514
367 80.3115 3.57e-02 2.09e+00 98.7638
368 79.7508 3.15e-02 2.11e+00 99.1009
369 78.8785 3.29e-02 2.18e+00 98.7862
370 80.7477 2.91e-02 2.10e+00 98.8762
371 80.7477 2.99e-02 2.07e+00 99.0560
372 79.8131 3.40e-02 2.10e+00 98.8986
373 79.7508 3.00e-02 2.13e+00 99.0110
374 79.6885 2.80e-02 2.18e+00 98.9885
375 78.9408 2.69e-02 2.17e+00 99.3032
376 79.3146 3.44e-02 2.20e+00 98.8087
377 78.0685 4.72e-02 2.16e+00 98.3592
378 79.8754 8.50e-02 2.23e+00 97.3702
379 79.6885 7.90e-02 2.15e+00 97.4151
380 78.3801 5.68e-02 2.21e+00 98.1794
381 80.1869 5.09e-02 2.26e+00 98.4716
382 79.5016 5.32e-02 2.17e+00 98.3367
383 80.1246 3.72e-02 2.10e+00 98.8087
384 80.2492 3.56e-02 2.22e+00 98.6514
385 80.1869 3.33e-02 2.11e+00 98.8986
386 79.8754 2.81e-02 2.14e+00 98.9661
387 80.8100 2.76e-02 2.19e+00 99.0110
388 79.4393 2.83e-02 2.13e+00 98.8986
389 80.9346 2.78e-02 2.23e+00 99.1684
390 80.4361 3.07e-02 2.12e+00 99.0110
391 80.0623 2.41e-02 2.18e+00 99.1908
392 79.9377 3.06e-02 2.23e+00 98.7638
393 79.1900 3.08e-02 2.37e+00 98.9436
394 79.7508 3.79e-02 2.21e+00 98.7188
395 80.7477 7.23e-02 2.21e+00 97.3927
396 79.8754 6.59e-02 2.16e+00 97.7523
397 78.9408 8.43e-02 2.36e+00 97.1005
398 79.6262 5.95e-02 2.12e+00 97.9546
399 79.5016 4.33e-02 2.21e+00 98.3592
