# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
253 78.0000 9.52e-02 1.47e+00 96.0000
254 78.0000 8.18e-02 1.57e+00 97.0000
255 79.0000 7.72e-02 1.53e+00 97.0000
256 77.0000 6.73e-02 1.64e+00 97.0000
257 78.0000 6.85e-02 1.55e+00 97.0000
258 78.0000 7.14e-02 1.48e+00 97.0000
259 76.0000 7.53e-02 1.67e+00 97.0000
260 75.0000 8.45e-02 1.75e+00 97.0000
261 77.0000 7.03e-02 1.71e+00 97.0000
262 77.0000 7.71e-02 1.61e+00 97.0000
263 78.0000 6.73e-02 1.66e+00 97.0000
264 78.0000 7.92e-02 1.71e+00 97.0000
265 78.0000 8.23e-02 1.69e+00 97.0000
266 76.0000 1.36e-01 1.74e+00 95.0000
267 77.0000 1.08e-01 1.73e+00 96.0000
268 77.0000 8.69e-02 1.80e+00 96.0000
269 77.0000 8.05e-02 1.70e+00 97.0000
270 76.0000 7.13e-02 1.69e+00 97.0000
271 78.0000 6.28e-02 1.69e+00 97.0000
272 78.0000 7.26e-02 1.72e+00 97.0000
273 77.0000 7.95e-02 1.69e+00 97.0000
274 77.0000 7.82e-02 1.78e+00 97.0000
275 76.0000 7.49e-02 1.71e+00 97.0000
276 77.0000 8.41e-02 1.61e+00 96.0000
277 77.0000 8.51e-02 1.60e+00 97.0000
278 75.0000 9.14e-02 1.71e+00 96.0000
279 77.0000 1.06e-01 1.80e+00 96.0000
280 77.0000 1.39e-01 1.75e+00 95.0000
281 77.0000 1.06e-01 1.67e+00 95.0000
282 77.0000 8.89e-02 1.69e+00 96.0000
283 76.0000 8.06e-02 1.71e+00 97.0000
284 78.0000 7.34e-02 1.62e+00 97.0000
285 79.0000 7.06e-02 1.73e+00 97.0000
286 78.0000 5.39e-02 1.77e+00 97.0000
287 79.0000 4.75e-02 1.73e+00 98.0000
288 77.0000 5.37e-02 1.80e+00 98.0000
289 78.0000 6.78e-02 1.75e+00 97.0000
290 77.0000 7.37e-02 1.76e+00 97.0000
291 77.0000 7.88e-02 1.85e+00 97.0000
292 77.0000 8.80e-02 1.86e+00 96.0000
293 78.0000 8.19e-02 1.75e+00 97.0000
294 77.0000 7.62e-02 1.79e+00 97.0000
295 76.0000 6.89e-02 1.72e+00 97.0000
296 77.0000 7.19e-02 1.73e+00 97.0000
297 78.0000 5.51e-02 1.73e+00 98.0000
298 77.0000 6.01e-02 1.84e+00 97.0000
299 77.0000 6.29e-02 1.72e+00 97.0000
300 77.0000 6.58e-02 1.72e+00 97.0000
301 77.0000 8.45e-02 1.81e+00 96.0000
302 76.0000 1.17e-01 1.86e+00 96.0000
303 78.0000 8.50e-02 1.73e+00 96.0000
304 77.0000 7.60e-02 1.69e+00 97.0000
305 77.0000 7.75e-02 1.80e+00 97.0000
306 79.0000 7.28e-02 1.57e+00 97.0000
307 78.0000 8.90e-02 1.62e+00 96.0000
308 77.0000 9.49e-02 1.71e+00 96.0000
309 77.0000 8.30e-02 1.71e+00 97.0000
310 77.0000 6.92e-02 1.74e+00 97.0000
311 78.0000 6.10e-02 1.65e+00 97.0000
312 78.0000 7.31e-02 1.67e+00 97.0000
313 77.0000 6.45e-02 1.74e+00 97.0000
314 79.0000 7.87e-02 1.72e+00 97.0000
315 78.0000 6.56e-02 1.73e+00 97.0000
316 75.0000 9.10e-02 1.88e+00 96.0000
317 79.0000 8.08e-02 1.80e+00 97.0000
318 78.0000 5.91e-02 1.77e+00 98.0000
319 78.0000 6.24e-02 1.69e+00 97.0000
320 77.0000 6.91e-02 1.82e+00 97.0000
321 77.0000 6.90e-02 1.85e+00 97.0000
322 76.0000 7.48e-02 1.88e+00 97.0000
323 77.0000 8.91e-02 1.73e+00 96.0000
324 77.0000 8.97e-02 1.69e+00 97.0000
325 78.0000 8.33e-02 1.62e+00 96.0000
326 77.0000 7.32e-02 1.67e+00 97.0000
327 77.0000 5.79e-02 1.68e+00 97.0000
328 77.0000 7.11e-02 1.81e+00 97.0000
329 78.0000 8.04e-02 1.74e+00 97.0000
330 78.0000 6.67e-02 1.74e+00 97.0000
331 77.0000 7.17e-02 1.79e+00 97.0000
332 78.0000 7.57e-02 1.69e+00 97.0000
333 78.0000 6.79e-02 1.60e+00 97.0000
334 78.0000 5.87e-02 1.76e+00 97.0000
335 78.0000 7.40e-02 1.75e+00 97.0000
336 76.0000 6.66e-02 1.76e+00 97.0000
337 77.0000 6.98e-02 1.78e+00 97.0000
338 77.0000 7.60e-02 1.76e+00 97.0000
339 75.0000 7.77e-02 1.87e+00 97.0000
340 75.0000 8.54e-02 1.75e+00 97.0000
341 77.0000 8.83e-02 1.74e+00 96.0000
342 75.0000 6.90e-02 1.69e+00 97.0000
343 76.0000 7.59e-02 1.79e+00 97.0000
344 76.0000 6.57e-02 1.71e+00 97.0000
345 77.0000 6.66e-02 1.71e+00 97.0000
346 77.0000 6.46e-02 1.68e+00 97.0000
347 76.0000 7.75e-02 1.80e+00 97.0000
348 76.0000 1.12e-01 1.88e+00 96.0000
349 73.0000 9.88e-02 1.99e+00 97.0000
350 76.0000 9.83e-02 1.85e+00 96.0000
351 77.0000 8.16e-02 1.87e+00 97.0000
352 76.0000 6.68e-02 1.80e+00 97.0000
353 76.0000 6.29e-02 1.93e+00 97.0000
354 76.0000 6.61e-02 1.78e+00 97.0000
355 76.0000 8.79e-02 1.91e+00 96.0000
356 76.0000 7.37e-02 1.90e+00 97.0000
357 76.0000 7.72e-02 1.96e+00 97.0000
358 75.0000 7.13e-02 1.99e+00 97.0000
359 76.0000 5.90e-02 1.96e+00 98.0000
360 76.0000 7.71e-02 1.98e+00 97.0000
361 74.0000 7.77e-02 1.97e+00 97.0000
362 76.0000 8.63e-02 1.83e+00 97.0000
363 76.0000 5.36e-02 1.86e+00 97.0000
364 77.0000 5.73e-02 1.88e+00 98.0000
365 76.0000 4.88e-02 1.88e+00 98.0000
366 76.0000 6.03e-02 1.86e+00 97.0000
367 76.0000 4.77e-02 1.91e+00 98.0000
368 77.0000 3.90e-02 1.88e+00 98.0000
